Empresa;Projeto;Categoria;jan/24;fev/24;mar/24;abr/24;mai/24;jun/24;jul/24;ago/24;set/24;out/24;nov/24;dez/24;jan/25;fev/25;mar/25;abr/25;mai/25;jun/25;jul/25;ago/25;set/25;out/25;nov/25;dez/25;jan/26;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;398;312;9536;299;5517;5584;;;;;;;;;
Mar_BR;Oftalmo;Provisão - IRPJ e CSSL Trimestral;0;0;0;825;824;824;838;831;824;824;824;839;810;830;825;333;0;;;;;3460;;;;
Mar_BR;Eventuais B2G;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - 171;Provisão - IRPJ e CSSL Trimestral;0;0;0;8459;7057;7062;7179;7107;7051;7044;0;0;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Provisão - IRPJ e CSSL Trimestral;0;0;0;743;742;743;755;748;742;742;741;755;0;0;0;0;0;;;;;;;;;
Mar_BR;Rede Alpha;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;362;359;319;319;396;245;261;1846;239;241;240;;;;;;;;;
Mar_BR;Rossi Advogados;Provisão - IRPJ e CSSL Trimestral;0;0;0;40;84;84;84;84;84;84;84;0;83;45;45;46;46;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Provisão - IRPJ e CSSL Trimestral;0;0;0;22430;21935;21964;22315;22129;21942;21934;21924;22339;21553;22085;26332;26628;26548;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1851;2638;2870;;;;;;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Provisão - IRPJ e CSSL Trimestral;0;0;0;0;0;0;0;0;0;0;0;1836;1815;1815;1804;1824;1819;;;;;;;;;
Mar_BR;Bertioga SEDUC 378/2024 54/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;59190;1488;59240;236878;13080;0;0;48432;;;;;;;;;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;38947;35344;38026;31583;31583;31583;;;;;;;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Receita Bruta de Vendas;57500;57500;80583;0;0;2828;138349;45242;95092;0;0;3750;3000;90410;2850;52166;52886;;;;;;;;;
Mar_BR;Santos STS Seduc 36693/2022 12/2024;Receita Bruta de Vendas;0;0;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;384217;460899;460899;460899;;;;;;;;;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Receita Bruta de Vendas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32409;45673;49831;;;;;;;;;
Mar_BR;Oftalmo;Receita Bruta de Vendas;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;14441;5776;0;;;;;;;;;
Mar_BR;Rede Alpha;Receita Bruta de Vendas;0;0;0;0;0;0;3420;3420;3040;3040;3775;2312;2508;17509;2280;2280;2280;;;;;;;;;
Mar_BR;Rossi Advogados;Receita Bruta de Vendas;0;0;0;380;800;800;800;800;800;800;800;0;800;800;800;800;800;;;;;;;;;
Mar_BR;PG - 171;Receita Bruta de Vendas;120824;126028;125760;136335;123608;123538;123608;123398;123468;123398;0;0;0;0;0;0;0;;;;;;;;;
Mar_BR;PG - Chiller;Receita Bruta de Vendas;40069;38143;13000;13000;13000;13000;13000;13000;13000;13000;13000;13000;0;0;0;0;0;0;0;0;0;0;;;;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Ativos;;;;;;;;;;;;;;;;;;;;;;5480;675;25645;4355;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Ativos;;;;;;;;;;;;;;;;;;649;725;1340;1568;1174;943;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Ativos;;;;;;;;;;;;;;;;;;6515;6423;7603;5750;43;7483;7544;5363;
Mar_BR;Casa Tupi 771 - Anexo;Ativos;;;;;;;;;;;;;;;;;;;;;;;;2213;12856;
Mar_BR;D.Z.M;Ativos;;;;;;;;;;;;;;;;;;287;;393;676;;;289;;
Mar_BR;Eventuais B2G;Ativos;;;;;;;;;;;;;;;;;;555;;;1332;;;;;
Mar_BR;Rede Alpha;Ativos;;;;;;;;;;;;;;;;;;48;56;104;120;2;45;209;172;
Mar_BR;Rossi Advogados;Ativos;;;;;;;;;;;;;;;;;;17;19;36;37;1;16;52;45;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Ativos;;;;;;;;;;;;;;;;;;9499;10561;19525;22891;15113;14082;29716;24525;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Ativos;;;;;;;;;;;;;;;;;;939;1181;2126;2460;1651;1498;3232;2673;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Ativos;;;;;;;;;;;;;;;;;;;;;;;;2775;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Ativos;;;;;;;;;;;;;;;;;;;;;;;445;1528;1264;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;2520;;3516;1333;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;451;779;412;525;416;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;660;1302;;;1405;299;;
Mar_BR;Eventuais B2G;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;418;;;;;
Mar_BR;Rede Alpha;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;35;60;37;;34;29;73;
Mar_BR;Rossi Advogados;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;12;21;11;;12;7;19;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;6577;11352;6016;6720;6496;4067;10376;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;735;1236;655;735;707;443;1131;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;;;380;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Adiantamento - Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;;335;209;535;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;;600;;10606;198;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;80;26;27;125;133;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;117;44;;;448;899;;
Mar_BR;Eventuais B2G;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;28;;;;;
Mar_BR;Rede Alpha;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;6;2;2;;11;86;11;
Mar_BR;Rossi Advogados;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;2;1;1;;4;22;3;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;1165;385;398;1600;2072;12269;1541;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;130;42;43;175;226;1337;168;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;;;;1148;;
Mar_BR;São Paulo CRSN PSP 6018/2025;Adiantamento - Credenciado TI;;;;;;;;;;;;;;;;;;;;;;;107;634;79;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado Administrativo;Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;4421;9092;;14199;7192;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Credenciado Administrativo;;;;;;;;;;;;;;;;;;2107;1852;2378;2921;2403;2175;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Credenciado Administrativo;;;;;;;;;;;;;;;;;;3738;2706;3977;101;1137;5442;1207;187;
Mar_BR;Eventuais B2G;Credenciado Administrativo;;;;;;;;;;;;;;;;;;1802;;;1932;;;;;
Mar_BR;Rede Alpha;Credenciado Administrativo;;;;;;;;;;;;;;;;;;154;142;185;180;42;178;116;290;
Mar_BR;Rossi Advogados;Credenciado Administrativo;;;;;;;;;;;;;;;;;;54;49;63;55;15;64;29;75;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Credenciado Administrativo;;;;;;;;;;;;;;;;;;30819;26976;34662;41008;32200;33996;16426;41397;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;3046;3016;3774;4474;3518;3702;1789;4513;
Mar_BR;São Paulo CREF4 PSP 2325/2025 93/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;;;1536;238;
Mar_BR;São Paulo CRSN PSP 6018/2025;Credenciado Administrativo;;;;;;;;;;;;;;;;;;;;;;410;1752;846;2133;
Mar_BR;Bertioga SEDUC 3151/2025 135/2025;Credenciado TI;;;;;;;;;;;;;;;;;;;;;;3540;;4623;1386;
Mar_BR;Bertioga SESAP 1390/2024 71/2024;Credenciado TI;;;;;;;;;;;;;;;;;;854;800;660;1065;738;583;;;
Mar_BR;Capina Elétrica / MAM / Crestani / Zasso;Credenciado TI;;;;;;;;;;;;;;;;;;1516;1169;1104;;;1192;393;;
Mar_BR;Eventuais B2G;Credenciado TI;;;;;;;;;;;;;;;;;;731;;;1080;;;;;
Mar_BR;Rede Alpha;Credenciado TI;;;;;;;;;;;;;;;;;;63;62;51;96;;13;38;76;
Mar_BR;Rossi Advogados;Credenciado TI;;;;;;;;;;;;;;;;;;22;21;17;29;;5;9;20;
Mar_BR;Santos STS SEDUC 36693/2022 12/2024;Credenciado TI;;;;;;;;;;;;;;;;;;12496;11648;9620;15538;9441;8675;5348;10787;
Mar_BR;São Paulo CMSP CSP 274/2024 03/2025;Credenciado TI;;;;;;;;;;;;;;;;;;1235;1302;1048;1693;1033;882;583;1176;
