empresa_id;empresa_nome;codigo_lancamento_omie;competencia;issue_type;issue_description
8w7t3s0f;DZM;11492810145;06/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810185;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810199;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810232;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810248;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810267;30/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810286;30/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810299;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810316;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810344;25/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810356;23/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810366;23/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810378;23/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810389;23/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810399;23/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810412;15/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810429;15/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810440;13/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810454;25/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810467;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810489;17/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810506;06/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810533;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810551;16/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810565;28/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810577;01/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810598;31/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810623;20/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810635;30/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810651;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810666;30/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810700;28/02/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810729;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810743;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810757;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810769;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810778;01/05/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810787;24/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810801;14/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810809;07/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810826;14/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810838;28/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810856;04/04/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810865;24/03/2025;projeto_ausente;Projeto ausente
8w7t3s0f;DZM;11492810880;30/04/2025;projeto_ausente;Projeto ausente
